Step,Value
1,0.71875
6,0.6770833730697632
11,0.71875
25,0.71875
33,0.65625
48,0.5625
55,0.625
56,0.65625
59,0.8125
61,0.6875
72,0.75
85,0.71875
107,0.6800000071525574
117,0.84375
118,0.875
123,0.6875
124,0.7604166865348816
141,0.6354166865348816
143,0.7066667079925537
146,0.90625
152,0.6266666650772095
168,0.8020833730697632
174,0.875
175,0.75
179,0.7733333706855774
185,0.8645833730697632
188,0.6800000071525574
197,0.9333333373069763
198,0.7395833730697632
205,0.8541666865348816
214,0.7916666865348816
221,0.8854166865348816
227,0.6770833730697632
240,0.8020833730697632
262,0.8958333730697632
266,0.8854166865348816
267,0.75
268,0.8229166865348816
271,0.8229166865348816
283,0.90625
290,0.75
295,0.8125
300,0.75
308,0.8020833730697632
333,0.875
371,0.84375
376,0.78125
379,0.8125
387,0.8229166865348816
389,0.7916666865348816
397,0.8125
398,0.75
405,0.8020833730697632
421,0.8854166865348816
438,0.8958333730697632
441,0.9166666865348816
452,0.9270833730697632
477,0.78125
492,0.8333333730697632
504,0.8125
523,0.8229166865348816
533,0.9375
552,0.8854166865348816
575,0.9333333373069763
579,0.9166666865348816
581,0.8854166865348816
582,0.9270833730697632
584,0.8666666746139526
598,0.8958333730697632
599,0.8958333730697632
602,0.9200000166893005
604,0.8958333730697632
630,0.7083333730697632
636,0.9479166865348816
638,1.0
655,0.78125
660,0.9375
664,0.90625
670,0.9375
679,0.9375
681,0.7395833730697632
682,0.875
688,0.9270833730697632
699,0.9583333730697632
700,0.8958333730697632
712,0.9479166865348816
716,0.90625
724,0.8854166865348816
729,0.9375
738,0.8645833730697632
743,0.8854166865348816
747,0.875
756,0.8854166865348816
761,0.9270833730697632
773,0.9466667175292969
782,0.800000011920929
789,0.8541666865348816
817,0.9583333730697632
820,0.8229166865348816
823,0.9270833730697632
826,0.8645833730697632
828,0.8541666865348816
840,0.96875
858,0.9270833730697632
868,0.8854166865348816
879,0.8645833730697632
881,0.8400000333786011
888,0.75
892,0.8020833730697632
894,0.9166666865348816
895,0.96875
899,0.9466667175292969
910,0.90625
914,0.9583333730697632
974,0.9375
991,0.9166666865348816
1008,0.9479166865348816
1020,0.9270833730697632
1022,0.8958333730697632
1038,0.90625
1039,0.8333333730697632
1062,0.9479166865348816
1070,0.9200000166893005
1073,0.90625
1075,0.9375
1083,0.9479166865348816
1087,0.9479166865348816
1102,0.9166666865348816
1117,0.9583333730697632
1128,0.9270833730697632
1137,0.875
1146,0.90625
1187,0.8666666746139526
1203,0.9270833730697632
1207,0.8958333730697632
1221,0.9270833730697632
1226,0.9166666865348816
1244,0.8645833730697632
1245,0.96875
1249,0.90625
1274,0.9166666865348816
1279,0.9479166865348816
1284,0.8541666865348816
1317,0.8958333730697632
1318,0.90625
1333,0.9270833730697632
1357,0.8958333730697632
1378,0.8958333730697632
1386,0.8958333730697632
1398,0.8645833730697632
1403,0.8666666746139526
1440,0.90625
1441,0.9583333730697632
1469,0.9375
1482,0.84375
1497,0.9270833730697632
1507,0.8958333730697632
1521,0.9270833730697632
1525,0.8854166865348816
1529,0.9200000166893005
1534,0.8958333730697632
1536,0.8541666865348816
1537,0.9270833730697632
1541,0.90625
1546,0.9375
1548,0.9791666865348816
1560,0.875
1562,0.9375
1575,0.96875
1584,0.9270833730697632
1585,0.8958333730697632
1591,0.9583333730697632
1598,0.9270833730697632
1602,0.9791666865348816
1604,0.9479166865348816
1611,0.8958333730697632
1616,0.8333333730697632
1625,0.9166666865348816
1642,0.9583333730697632
1661,0.8854166865348816
1670,0.90625
1698,0.9791666865348816
1702,0.9479166865348816
1703,0.9479166865348816
1708,0.9270833730697632
1710,1.0
1717,0.9375
1726,0.8958333730697632
1752,0.9479166865348816
1754,0.9866666793823242
1758,0.84375
1759,0.9479166865348816
1762,0.9166666865348816
1765,0.9479166865348816
1766,0.9166666865348816
1768,0.9479166865348816
1776,0.9895833730697632
1790,0.9600000381469727
1809,0.9166666865348816
1829,0.9270833730697632
1839,0.9791666865348816
1848,0.875
1853,0.9066666960716248
1874,0.9166666865348816
1878,0.9375
1879,0.90625
1888,0.96875
1896,0.9583333730697632
1901,0.8333333730697632
1904,0.8854166865348816
1910,0.9791666865348816
1934,0.9200000166893005
1936,0.9895833730697632
1937,0.9583333730697632
1943,1.0
1950,0.9895833730697632
1952,0.9466667175292969
1954,0.9791666865348816
1957,0.8541666865348816
1977,0.90625
1991,0.9479166865348816
2013,0.96875
2017,1.0
2020,0.9479166865348816
2021,0.9791666865348816
2022,0.9791666865348816
2023,0.8645833730697632
2033,0.9466667175292969
2038,0.9895833730697632
2043,0.9583333730697632
2048,0.8958333730697632
2053,0.96875
2063,0.90625
2071,0.96875
2076,0.9583333730697632
2079,0.9479166865348816
2082,0.9375
2097,0.90625
2099,0.9270833730697632
2111,0.875
2119,0.8958333730697632
2122,0.9375
2127,0.8958333730697632
2128,0.9270833730697632
2129,0.9375
2145,0.9583333730697632
2149,0.8645833730697632
2159,1.0
2163,1.0
2166,0.9479166865348816
2168,0.9333333373069763
2170,0.9895833730697632
2221,0.9479166865348816
2222,0.9600000381469727
2234,0.9791666865348816
2237,0.9479166865348816
2245,0.875
2247,0.9583333730697632
2274,0.9375
2277,0.96875
2281,0.9166666865348816
2284,0.9270833730697632
2287,0.9375
2288,0.96875
2297,0.9791666865348816
2303,0.9466667175292969
2329,0.875
2330,0.9733333587646484
2333,0.90625
2343,0.9375
2345,0.9479166865348816
2349,0.9479166865348816
2359,0.8229166865348816
2367,0.9583333730697632
2375,0.9333333373069763
2379,0.9895833730697632
2391,0.9375
2421,0.96875
2435,0.9375
2447,0.9600000381469727
2481,0.9791666865348816
2485,0.9375
2487,0.96875
2490,0.9895833730697632
2497,0.9583333730697632
2499,0.9166666865348816
2523,0.9895833730697632
2539,0.9270833730697632
2545,0.9375
2560,0.9375
2568,1.0
2574,0.9375
2581,0.96875
2585,0.9583333730697632
2589,0.9166666865348816
2592,0.9479166865348816
2604,1.0
2611,0.90625
2614,0.96875
2617,0.9479166865348816
2634,0.96875
2637,0.9270833730697632
2653,0.90625
2659,0.9479166865348816
2661,1.0
2664,0.8854166865348816
2677,0.9166666865348816
2703,0.9791666865348816
2711,0.90625
2715,0.9895833730697632
2730,0.9583333730697632
2737,0.9583333730697632
2739,0.9479166865348816
2742,0.90625
2747,0.9583333730697632
2748,0.9791666865348816
2763,0.9583333730697632
2774,0.9583333730697632
2809,0.9166666865348816
2816,0.9733333587646484
2820,0.96875
2852,0.9600000381469727
2856,0.9375
2913,0.9375
2929,0.9166666865348816
2939,0.9270833730697632
2946,0.9166666865348816
2951,0.9200000166893005
